Year,RealBuildingCost,Population,LongRate,RealHomePriceIndex
1890-12-31,51.36233983496865,63.056,3.42,100
1891-12-31,47.266162908553916,64.361,3.62,88
1892-12-31,52.0481550155526,65.666,3.6,95
1893-12-31,44.673331550321265,66.97,3.75,92
1894-12-31,57.26343379944134,68.275,3.7,123
1895-12-31,61.470338429243704,69.58,3.46,117
1896-12-31,60.06894542897356,70.885,3.6,100
1897-12-31,62.38489275638975,72.189,3.4,106
1898-12-31,61.438038202283494,73.494,3.35,110
1899-12-31,64.04460579646552,74.799,3.1,103
1900-12-31,49.420633813161956,76.094,3.15,101
1901-12-31,51.25232443809333,77.584,3.1,87
1902-12-31,50.516165104586726,79.163,3.18,100
1903-12-31,43.54354963572615,80.632,3.3,93
1904-12-31,47.08562106216257,82.166,3.4,101
1905-12-31,47.11098374931208,83.822,3.48,87
1906-12-31,51.76914843463732,85.45,3.43,103
1907-12-31,49.544707383141926,87.008,3.67,109
1908-12-31,50.125714115545215,88.71,3.87,100
1909-12-31,44.071666122663565,90.49,3.76,95
1910-12-31,37.98176671894794,92.407,3.91,93
1911-12-31,42.29755768803429,93.863,3.98,97
1912-12-31,42.25410832340377,95.335,4.01,102
1913-12-31,40.33646953517861,97.225,4.45,95
1914-12-31,34.47783935401113,99.111,4.16,96
1915-12-31,35.317522956253846,100.546,4.24,88
1916-12-31,47.29616864718569,101.961,4.05,93
1917-12-31,53.5943013678033,103.268,4.23,85
1918-12-31,42.64391738003613,103.208,4.57,75
1919-12-31,36.18271777700035,104.514,4.5,70
1920-12-31,40.27179996980633,106.541,4.97,66
1921-12-31,32.80518503515523,108.538,5.09,65
1922-12-31,34.437609584562686,110.049,4.3,74
1923-12-31,41.571114427079245,111.947,4.36,76
1924-12-31,40.36963713149891,114.109,4.06,74
1925-12-31,39.71851395195861,115.829,3.86,78
1926-12-31,38.806698996624704,117.397,3.68,72
1927-12-31,39.908269849996074,119.035,3.34,71
1928-12-31,40.803719251192454,120.509,3.33,73
1929-12-31,41.93969438898694,121.878,3.6,72
1930-12-31,40.62221707833813,123.188,3.29,69
1931-12-31,39.67346769425457,124.149,3.34,68
1932-12-31,34.39721356158959,124.949,3.68,68
1933-12-31,43.078444157493465,125.69,3.31,72
1934-12-31,47.50403984873474,126.485,3.12,73
1935-12-31,45.83077321087864,127.362,2.79,78
1936-12-31,46.79908533913362,128.181,2.65,79
1937-12-31,52.19452664740583,128.961,2.68,79
1938-12-31,52.09138282139235,129.969,2.56,78
1939-12-31,52.83554543312652,131.028,2.36,78
1940-12-31,54.836438710493944,132.122,2.21,81
1941-12-31,56.18900572756444,133.402,1.95,73
1942-12-31,53.09349646162413,134.86,2.46,68
1943-12-31,50.87879093461198,136.739,2.47,70
1944-12-31,50.71151889695614,138.397,2.48,80
1945-12-31,50.41571180609175,139.928,2.37,87
1946-12-31,54.05276416821222,141.389,2.19,106
1947-12-31,54.663052789035625,144.126,2.25,109
1948-12-31,54.024908200592435,146.631,2.44,101
1949-12-31,55.07055158512002,149.188,2.31,100
1950-12-31,59.91718620237915,151.684,2.32,105
1951-12-31,59.278698601377414,154.287,2.57,103
1952-12-31,58.94343771717821,156.954,2.68,103
1953-12-31,60.839220095318,159.565,2.83,114
1954-12-31,62.254476192033295,162.391,2.48,114
1955-12-31,65.95528266961516,165.275,2.61,115
1956-12-31,68.79148786031361,168.221,2.9,113
1957-12-31,69.24632103959016,171.274,3.46,113
1958-12-31,68.92571419784174,174.141,3.09,111
1959-12-31,70.95296771625183,177.13,4.02,110
1960-12-31,71.6361425754315,180.76,4.72,109
1961-12-31,71.5681969959156,183.742,3.84,108
1962-12-31,72.59299981674913,186.59,4.08,108
1963-12-31,73.3670177367553,189.3,3.83,108
1964-12-31,74.3671173214772,191.927,4.17,108
1965-12-31,75.45724616230389,194.347,4.19,108
1966-12-31,76.74926786090913,196.599,4.61,107
1967-12-31,77.15051023392057,198.752,4.58,105
1968-12-31,79.39056456852481,200.745,5.53,104
1969-12-31,83.3230383406119,202.736,6.04,105
1970-12-31,83.04289524740322,205.089,7.79,107
1971-12-31,89.4361858771593,207.692,6.24,108
1972-12-31,95.74309565561677,209.924,5.95,109
1973-12-31,100.30455778467764,211.939,6.46,105
1974-12-31,97.0932715471171,213.898,6.99,102
1975-12-31,94.12250092065096,215.981,7.5,101
1976-12-31,96.23389798331759,218.086,7.74,103
1977-12-31,99.16550372845039,220.289,7.21,108
1978-12-31,100.56884002199011,222.629,7.96,116
1979-12-31,100,225.106,9.1,120
1980-12-31,93.67720900915924,227.726,10.8,116
1981-12-31,90.50387670375918,230.008,12.57,112
1982-12-31,88.95277082894881,232.218,14.59,108
